"age","coef","se","pval","lower","upper","is_treated","stars"
0,-4.0746554119281,3.47390928841686,0.244636704604065,-10.8835176172251,2.73420679336894,TRUE,""
1,-2.39439541112585,2.66532053104189,0.37195158630566,-7.61842365196795,2.82963282971625,TRUE,""
2,-4.99567033902685,2.93415539146685,0.0928992109575275,-10.7466149063019,0.755274228248187,TRUE,"*"
3,-3.04588757520435,2.74772598921543,0.271279518058782,-8.43143051406659,2.33965536365788,TRUE,""
4,-1.02469033587965,3.55789355637193,0.774159190655042,-7.99816170636864,5.94878103460934,TRUE,""
5,-0.711519431082015,3.06321070495024,0.816971303630783,-6.7154124127845,5.29237355062046,TRUE,""
6,-0.254798884302066,2.71436805072958,0.925469257563496,-5.57496026373205,5.06536249512791,TRUE,""
7,0.239296330403867,3.54184720645006,0.946318555424837,-6.70272419423825,7.18131685504599,TRUE,""
8,-2.65603153225558,3.16651055755435,0.404326511839278,-8.86239222506211,3.55032916055095,TRUE,""
9,1.3777090897582,2.80304312148323,0.624544079777508,-4.11625542834893,6.87167360786533,TRUE,""
10,0.431612810624443,2.79691876998862,0.877785443117744,-5.05034797855326,5.91357359980214,TRUE,""
11,-3.14611790023522,3.48009349313998,0.368951878912649,-9.96710114678959,3.67486534631915,TRUE,""
12,-3.51622318601623,3.82077893118461,0.360452646485233,-11.0049498911381,3.97250351910561,TRUE,""
13,-4.79900929820004,3.32126085897636,0.152754879554739,-11.3086805817937,1.71066198539362,TRUE,""
14,0.153523932358304,3.39099980848189,0.964012577380797,-6.49283569226619,6.7998835569828,TRUE,""
15,-1.0005581863863,2.32150103069633,0.667741132743154,-5.5507002065511,3.5495838337785,TRUE,""
16,-2.49840654068234,2.76248755458571,0.368755957187272,-7.91288214767033,2.91606906630566,TRUE,""
17,0.265972961723731,2.00402269586585,0.89478035335318,-3.66191152217334,4.1938574456208,TRUE,""
26,0,NA,NA,NA,NA,FALSE,"(ref)"
27,2.54681038267847,3.43284789728204,0.460531697109469,-4.18157149599434,9.27519226135127,FALSE,""
28,2.80373699478399,3.28176766136662,0.395713059817839,-3.62852762149459,9.23600161106257,FALSE,""
29,4.38707970358162,5.83759997494906,0.454755175498955,-7.05461624731854,15.8287756544818,FALSE,""
30,3.13013752736733,2.05875711660895,0.132729851529281,-0.905026421186204,7.16530147592087,FALSE,""
31,3.25861053772208,2.34633421924153,0.169113525695108,-1.34020453199133,7.85742560743549,FALSE,""
32,-0.97840549984784,2.30779063547521,0.67284339495782,-5.50167514537925,3.54486414568356,FALSE,""
33,3.44630985486567,3.37319178591076,0.310308101467225,-3.16514604551941,10.0577657552508,FALSE,""
34,2.62565919433301,3.7896798718014,0.490605442799772,-4.80211335439773,10.0534317430638,FALSE,""
35,-0.440293946459658,3.04946728448743,0.885595208824738,-6.41724982405502,5.53666193113571,FALSE,""
36,4.30352221968729,3.35261703011251,0.203330868642688,-2.26760715933322,10.8746515987078,FALSE,""
37,-0.676829122005053,2.80974260834435,0.810318338304951,-6.18392463435998,4.83026639034988,FALSE,""
38,0.503335895289682,2.38287761012957,0.833296161084659,-4.16710422056427,5.17377601114363,FALSE,""
39,2.43917688283881,2.91776964852126,0.405898059473146,-3.27965162826285,8.15800539394048,FALSE,""
40,1.1588355431966,2.1117570337279,0.584848670009874,-2.98020824291009,5.29787932930328,FALSE,""
