"age","coef","se","pval","lower","upper","is_treated","stars"
0,-0.931104212819148,2.77752619539934,0.738414633951096,-6.37505555580185,4.51284713016355,TRUE,""
1,0.930166743592946,2.28545324742289,0.685202987497406,-3.54932162135592,5.40965510854181,TRUE,""
2,-0.68835907027022,2.0731778753028,0.740817405541241,-4.75178770586371,3.37506956532327,TRUE,""
3,2.84344866632251,1.96146336477302,0.15143699111902,-1.00101952863262,6.68791686127763,TRUE,""
4,-3.74629589269382,2.44642342411034,0.130008746795005,-8.54128580395007,1.04869401856244,TRUE,""
5,0.635112793683789,2.07365533797388,0.760265628067718,-3.42925166874502,4.6994772561126,TRUE,""
6,-2.07314333588711,1.97376158979961,0.297021348747109,-5.94171605189435,1.79542938012013,TRUE,""
7,-0.165850210350155,1.89317490166915,0.930431075858722,-3.87647301762169,3.54477259692138,TRUE,""
8,-1.81944931074882,2.27774847919391,0.427001764783343,-6.28383632996888,2.64493770847124,TRUE,""
9,-0.670584309311652,2.85148455299082,0.814735049677992,-6.25949403317367,4.91832541455036,TRUE,""
10,2.36741532384164,2.67481361798339,0.379021321231289,-2.8752193674058,7.61005001508909,TRUE,""
11,-4.02013041509313,1.54334689707638,0.0111324871863438,-7.04509033336284,-0.995170496823426,TRUE,"**"
12,1.02884731742347,2.93628351991242,0.727054324409555,-4.72626838160487,6.78396301645181,TRUE,""
13,-2.65056105876684,1.84315651851884,0.154691650298993,-6.26314783506376,0.962025717530077,TRUE,""
14,-2.58854945573786,1.89305989423801,0.175698912090275,-6.29894684844437,1.12184793696865,TRUE,""
15,-1.42808597871408,2.19940923337185,0.518179444723985,-5.73892807612291,2.88275611869475,TRUE,""
16,1.23533776553225,2.71537963924563,0.650501734265537,-4.08680632738918,6.55748185845368,TRUE,""
17,-0.33881909147972,1.72080570385766,0.844456389748563,-3.71159827104073,3.03396008808129,TRUE,""
26,0,NA,NA,NA,NA,FALSE,"(ref)"
27,-3.11743828784355,1.56285143175318,0.049808326596096,-6.18062709407979,-0.05424948160731,FALSE,"**"
28,0.401402670885223,2.07011327214836,0.846789824965694,-3.65601934252557,4.45882468429601,FALSE,""
29,-3.83071092248542,1.49260124874141,0.0123243335757979,-6.75620937001859,-0.905212474952244,FALSE,"**"
30,-0.619411935556898,2.40282268144594,0.79729807291379,-5.32894439119094,4.09012052007714,FALSE,""
31,-2.0706441921406,1.53414599826976,0.181281413486398,-5.07757034874933,0.936281964468139,FALSE,""
32,-1.18310132797866,1.89930686203668,0.535283462365062,-4.90574277757054,2.53954012161322,FALSE,""
33,1.46839213337968,1.67922378559314,0.384742736994667,-1.82288648638287,4.75967075314222,FALSE,""
34,-1.05313158402046,2.02821232264895,0.605163227233887,-5.02842773641241,2.92216456837149,FALSE,""
35,-3.22968810262558,1.37281651984368,0.0213406780654454,-5.9204084815192,-0.538967723731961,FALSE,"**"
36,-0.734552907052957,1.59280435822025,0.646048082904556,-3.85644944916465,2.38734363505874,FALSE,""
37,-0.678460835207313,1.74283620883512,0.698198274698968,-4.09441980452415,2.73749813410953,FALSE,""
38,-3.15691409347644,1.29461648838451,0.0171818069613645,-5.69436241071007,-0.619465776242804,FALSE,"**"
39,-2.41459940195139,1.68477558510885,0.15607329699205,-5.71675954876474,0.887560744861965,FALSE,""
40,-2.16293351416495,1.69507022028214,0.205995599189171,-5.48527114591793,1.15940411758804,FALSE,""
