"age","coef","se","pval","lower","upper","is_treated","stars"
0,-8.34667708475158,4.02583827356932,0.0416761348288945,-16.2373201009474,-0.456034068555714,TRUE,"**"
1,-4.75740457790521,3.41457873425363,0.167768429517765,-11.4499788970423,1.93516974123191,TRUE,""
2,-8.42824081315427,4.07703581308814,0.0422568490072811,-16.419231006807,-0.437250619501527,TRUE,"**"
3,-6.88794548244932,3.70568706754849,0.0670935673338501,-14.1510921348444,0.37520116994571,TRUE,"*"
4,-5.45932180103813,4.54032263355093,0.233091095377995,-14.3583541627979,3.4397105607217,TRUE,""
5,-7.94773839221787,3.76019611469733,0.0379626282711092,-15.3177227770246,-0.57775400741111,TRUE,"**"
6,-6.8746332957836,4.03923370724553,0.093017401823185,-14.7915313619848,1.04226477041764,TRUE,"*"
7,-5.65157870178292,4.51872042747982,0.215036673645072,-14.5082707396434,3.20511333607754,TRUE,""
8,-5.77711303724357,3.65026406593489,0.117823018786389,-12.931630606476,1.37740453198882,TRUE,""
9,-2.15795520281948,4.02813284559191,0.593779923209263,-10.0530955801796,5.73718517454065,TRUE,""
10,-9.03975831622455,4.02835623496266,0.0278628269528088,-16.9353365367514,-1.14418009569774,TRUE,"**"
11,-7.66534434657654,3.68490131132933,0.0410175507041685,-14.887750916782,-0.442937776371046,TRUE,"**"
12,-6.9854856406099,4.14666223397442,0.0963360602207192,-15.1129436191997,1.14197233797996,TRUE,"*"
13,-5.74484782271176,3.87486873646519,0.142487327666706,-13.3395905461835,1.84989490076002,TRUE,""
14,-2.75439728206579,4.75235243619408,0.563978248831734,-12.0690080570062,6.56021349287461,TRUE,""
15,-6.84094195258294,3.60721925432893,0.0618564144345766,-13.9110916910676,0.229207785901766,TRUE,"*"
16,-4.04437580954091,3.31603126242536,0.226525979196304,-10.5437970838946,2.4550454648128,TRUE,""
17,-5.38514767210364,2.96810172999525,0.0737340597036184,-11.2026270628943,0.432331718687041,TRUE,"*"
26,0,NA,NA,NA,NA,FALSE,"(ref)"
27,1.73083448218568,4.15685174738445,0.678352866569113,-6.41659494268784,9.8782639070592,FALSE,""
28,2.21787792154207,3.7699476349152,0.558143595152614,-5.17121944289172,9.60697528597586,FALSE,""
29,4.33665698257947,6.64537278172975,0.516074990540914,-8.68827366961084,17.3615876347698,FALSE,""
30,-4.44401713794991,4.04597632403325,0.275648401401516,-12.3741307330551,3.48609645715527,FALSE,""
31,3.03809631399851,2.94140324046689,0.305073060707643,-2.72705403731659,8.80324666531361,FALSE,""
32,-7.50825069164775,3.2242974985128,0.0226499225519873,-13.8278737887328,-1.18862759456265,FALSE,"**"
33,-0.647959040468073,3.7444581856674,0.863095119480979,-7.98709708437617,6.69117900344002,FALSE,""
34,-0.200121492997236,4.39888422574685,0.963838023247603,-8.82193457546105,8.42169158946658,FALSE,""
35,-3.27994728446895,3.66522965600095,0.373791450363292,-10.4637974102308,3.90390284129291,FALSE,""
36,4.44221945232336,5.32247300617368,0.40665717185355,-5.98982763977705,14.8742665444238,FALSE,""
37,-3.96207028263545,4.18824157243141,0.347270194828827,-12.171023764601,4.24688319933013,FALSE,""
38,0.294908571803318,3.97859745330392,0.941114656644069,-7.50314243667236,8.092959580279,FALSE,""
39,0.975666590590483,3.72390393747764,0.794058554280956,-6.32318512686568,8.27451830804665,FALSE,""
40,-1.74462822955405,2.97715239079456,0.559679223543857,-7.57984691551138,4.09059045640328,FALSE,""
