"age","coef","se","pval","lower","upper","is_treated","stars"
0,-1.09554177660588,2.8161143933932,0.698389359232269,-6.61512598765656,4.42404243444479,TRUE,""
1,1.94412886433341,2.2356927646037,0.387376565414553,-2.43782895428984,6.32608668295666,TRUE,""
2,-1.88522624155394,2.15816871759156,0.385238516744898,-6.11523692803341,2.34478444492552,TRUE,""
3,4.48089058565836,1.98301811320289,0.0268289309847419,0.594175083780699,8.36760608753601,TRUE,"**"
4,-2.7103998745559,2.48687246252535,0.279349379891713,-7.58466990110559,2.1638701519938,TRUE,""
5,0.327581045332122,2.14842182025744,0.879232799160506,-3.88332572237246,4.5384878130367,TRUE,""
6,-2.61562861297462,1.87708947366689,0.167712258317409,-6.29472398136172,1.06346675541248,TRUE,""
7,0.376394072716134,2.20647383210588,0.865021038031214,-3.94829463821139,4.70108278364366,TRUE,""
8,-0.45062706598965,2.27145174212139,0.843293548676299,-4.90267248054757,4.00141834856827,TRUE,""
9,-0.478210088269338,2.74095524956204,0.861980322550874,-5.85048237741094,4.89406220087226,TRUE,""
10,0.46067229455696,2.79761304178082,0.869661841801409,-5.02264926733344,5.94399385644736,TRUE,""
11,-4.29018090263689,1.6319056169758,0.010437203303832,-7.48871591190946,-1.09164589336433,TRUE,"**"
12,-0.401820228079211,3.10590867809624,0.89741843980485,-6.48940123714784,5.68576078098941,TRUE,""
13,-1.88708717481694,1.81109784580588,0.30086984968781,-5.43683895259646,1.66266460296258,TRUE,""
14,-0.652565692209085,1.71084664531438,0.703993255822968,-4.00582511702527,2.7006937326071,TRUE,""
15,-0.945259187530649,2.09828611974981,0.653691521581473,-5.05789998224028,3.16738160717898,TRUE,""
16,2.49498401856481,2.54078327824895,0.329355840786481,-2.48495120680313,7.47491924393276,TRUE,""
17,-0.413584019727852,1.75344559833832,0.814194577629523,-3.85033739247096,3.02316935301526,TRUE,""
26,0,NA,NA,NA,NA,FALSE,"(ref)"
27,-2.51536770674521,1.53852850519259,0.106371527845136,-5.53088357692269,0.500148163432266,FALSE,""
28,0.482500038838919,2.1334774127521,0.821711640701327,-3.6991156901552,4.66411576783304,FALSE,""
29,-3.08111275216862,1.40050805565998,0.0309726562974815,-5.82610854126218,-0.336116963075061,FALSE,"**"
30,-0.209739547266943,2.49513699319708,0.933239353525894,-5.10020805393321,4.68072895939932,FALSE,""
31,-2.23453781767591,1.53255721865368,0.149117037920345,-5.23834996623713,0.76927433088531,FALSE,""
32,0.339043512877622,1.78526906920477,0.849905406175601,-3.16008386276373,3.83817088851898,FALSE,""
33,1.52825427083718,1.69642665548653,0.370621701155872,-1.79674197391641,4.85325051559077,FALSE,""
34,-0.427559265781196,1.96825909277311,0.828637337504911,-4.28534708761649,3.4302285560541,FALSE,""
35,-3.29946909602013,1.34272946781873,0.0163749828060726,-5.93121885294484,-0.667719339095424,FALSE,"**"
36,-0.783718552577816,1.59898235481927,0.625507680658351,-3.91772396802358,2.35028686286795,FALSE,""
37,-1.69344266526334,1.48309148493696,0.257255073453233,-4.60030197573978,1.2134166452131,FALSE,""
38,-3.13886583944578,1.28897015047979,0.0173280081691155,-5.66524733438616,-0.612484344505393,FALSE,"**"
39,-2.26891753601557,1.72197080784234,0.191748461507491,-5.64398031938656,1.10614524735542,FALSE,""
40,-2.18617247534966,1.69086510471651,0.200111822563799,-5.50026808059402,1.12792312989471,FALSE,""
