"age","coef","se","pval","lower","upper","is_treated","stars"
0,-0.935965514997979,2.65596114510339,0.725552336880942,-6.14164935940063,4.26971832940467,TRUE,""
1,-0.359359721192879,2.23099007527649,0.8724782205625,-4.7321002687348,4.01338082634904,TRUE,""
2,-0.117996059690029,3.26811608030085,0.971297006756251,-6.5235035770797,6.28751145769964,TRUE,""
3,0.566607223154593,3.10115425071203,0.855533220419918,-5.51165510824099,6.64486955455018,TRUE,""
4,-2.33633416500057,2.70025488229426,0.389748588810206,-7.62883373429733,2.95616540429618,TRUE,""
5,-2.32075905243148,2.76437883285245,0.403916997467785,-7.73894156482229,3.09742345995932,TRUE,""
6,-3.85289598607376,3.49759445776508,0.274261193960604,-10.7081811232933,3.0023891511458,TRUE,""
7,-4.44806013528882,2.53842741603518,0.0839231086004,-9.42337787071777,0.527257600140135,TRUE,"*"
8,-3.22988921993239,2.52666777931952,0.205186248357966,-8.18215806739865,1.72237962753387,TRUE,""
9,0.00424766799948982,3.15343269778073,0.99892892554105,-6.17648041965074,6.18497575564972,TRUE,""
10,-2.16019819268404,3.06828639898182,0.483647324507315,-8.17403953468841,3.85364314932032,TRUE,""
11,-2.5430863716312,2.10376922316752,0.230631422800928,-6.66647404903953,1.58030130577714,TRUE,""
12,0.0232713951565673,3.07726984762169,0.993986802874457,-6.00817750618195,6.05472029649508,TRUE,""
13,1.77149111717466,3.11503530678246,0.571311612850599,-4.33397808411897,7.87696031846829,TRUE,""
14,-2.42994685249641,2.56108497952748,0.34585494457758,-7.44967341237026,2.58977970737745,TRUE,""
15,-1.95548382781054,2.5382919080137,0.443552573882396,-6.93053596751738,3.01956831189631,TRUE,""
16,0.219608152371023,2.8794651200157,0.939415319618666,-5.42414348285974,5.86335978760179,TRUE,""
17,-1.31206325603122,3.30143684734888,0.692216067919855,-7.78287947683502,5.15875296477259,TRUE,""
26,0,NA,NA,NA,NA,FALSE,"(ref)"
27,0.516796829184461,2.99238265855136,0.863361942587656,-5.3482731815762,6.38186683994512,FALSE,""
28,1.96066522702874,2.56142970597784,0.446467058431299,-3.05973699668783,6.98106745074531,FALSE,""
29,-1.48495350824011,2.33442928945126,0.526694221523189,-6.06043491556457,3.09052789908435,FALSE,""
30,-3.15638048603452,2.17373056718208,0.150770355267094,-7.41689239771139,1.10413142564236,FALSE,""
31,4.09521612164483,2.68057455095929,0.130899138236566,-1.15870999823538,9.34914224152505,FALSE,""
32,0.338188885116305,3.49633821348289,0.923208586392258,-6.51463401331016,7.19101178354277,FALSE,""
33,-1.86262916487692,2.81647553199807,0.510480561978289,-7.38292120759314,3.6576628778393,FALSE,""
34,-0.658897211998125,3.13701881424224,0.834222127798127,-6.80745408791292,5.48965966391667,FALSE,""
35,-0.496935985754988,2.06471943106724,0.810478058331695,-4.54378607064678,3.5499140991368,FALSE,""
36,0.408908757375592,2.64431270597678,0.877534195665143,-4.77394414633889,5.59176166109008,FALSE,""
37,-0.816031588862376,2.17668813694861,0.708824811408086,-5.08234033728166,3.4502771595569,FALSE,""
38,1.83709614953285,2.8224040643193,0.517156183674608,-3.69481581653297,7.36900811559867,FALSE,""
39,-6.8632633735806e-05,2.47179198545705,0.999977921399394,-4.84478092412956,4.84464365886208,FALSE,""
40,-0.343643333062981,2.40359829606044,0.886707482616154,-5.05469599334144,4.36740932721548,FALSE,""
