"age","coef","se","pval","lower","upper","is_treated","stars"
0,-2.79953751403196,2.46473899287967,0.259740799119013,-7.63042594007612,2.0313509120122,TRUE,""
1,-0.180440416767136,2.21828723202694,0.935392403135211,-4.52828339153994,4.16740255800567,TRUE,""
2,-0.244812199714481,3.25102072983548,0.9401794760447,-6.61681283019202,6.12718843076306,TRUE,""
3,-2.26963629777697,3.27281788878304,0.490208596107759,-8.68435935979173,4.1450867642378,TRUE,""
4,-3.34401110874297,2.54762533954335,0.19342988189671,-8.33735677424794,1.649334556762,TRUE,""
5,-4.27571242119814,2.35367819469431,0.0733820905116402,-8.88892168279899,0.33749684040271,TRUE,"*"
6,-5.10042661047283,3.27428709120908,0.123624408137246,-11.5180293092426,1.31717608829698,TRUE,""
7,-3.20893340295686,2.73073784541593,0.243767071950466,-8.56117957997209,2.14331277405837,TRUE,""
8,-2.49777975304092,2.66647807524336,0.351984311403105,-7.7240767805179,2.72851727443605,TRUE,""
9,-1.30331624239377,2.7952079197821,0.642412019906397,-6.78192376516668,4.17529128037914,TRUE,""
10,-2.93798147456192,3.05895571369523,0.339998062603372,-8.93353467340456,3.05757172428072,TRUE,""
11,-2.63371115204946,2.05627090230357,0.204311519922145,-6.66400212056446,1.39657981646554,TRUE,""
12,-3.05952802292546,3.04750071183968,0.318720617889638,-9.03262941813123,2.91357337228031,TRUE,""
13,-0.334522813252067,3.13850237212155,0.915409191938214,-6.48598746261031,5.81694183610618,TRUE,""
14,-3.19357028177538,2.57738888508853,0.219287987857108,-8.2452524965489,1.85811193299814,TRUE,""
15,-2.72532607475713,2.45172072918705,0.269958971732015,-7.53069870396374,2.08004655444949,TRUE,""
16,0.965530279648039,2.87322678105914,0.737801766190561,-4.66599421122787,6.59705477052394,TRUE,""
17,-5.74918742967534,2.3190167509214,0.0154791302314671,-10.2944602614813,-1.2039145978694,TRUE,"**"
26,0,NA,NA,NA,NA,FALSE,"(ref)"
27,1.83706890324871,3.09675665787077,0.554865105769169,-4.232574146178,7.90671195267542,FALSE,""
28,-0.452900343924766,2.43190492448935,0.852778793545418,-5.21943399592389,4.31363330807436,FALSE,""
29,-0.990806762621074,2.51885050228516,0.695202520965084,-5.92775374709998,3.94614022185784,FALSE,""
30,-3.66134124730812,2.38273597476145,0.12871157013748,-8.33150375784056,1.00882126322432,FALSE,""
31,1.52550478826845,2.0008134339162,0.448252695038229,-2.39608954220729,5.4470991187442,FALSE,""
32,-4.35864421801676,2.52680633259398,0.088766004974836,-9.31118462990095,0.593896193867435,FALSE,"*"
33,-1.84747573273908,2.94466025563542,0.532355557137695,-7.6190098337845,3.92405836830633,FALSE,""
34,-1.62931399750799,3.19997857879896,0.612172900768533,-7.90127201195395,4.64264401693796,FALSE,""
35,-1.31608376862167,2.07933298479219,0.528753529406636,-5.39157641881437,2.75940888157103,FALSE,""
36,2.73452570733703,3.5658253432968,0.445631661480604,-4.2544919655247,9.72354338019875,FALSE,""
37,-2.4965986811142,2.33687456671131,0.28888308183488,-7.07687283186837,2.08367546963997,FALSE,""
38,1.28354758720492,2.9547542233252,0.66527875592683,-4.50777069051247,7.07486586492231,FALSE,""
39,0.106475259909326,2.56653271871467,0.967021687106121,-4.92392886877142,5.13687938859008,FALSE,""
40,-1.05328749773886,2.43558343193391,0.666683459370978,-5.82703102432932,3.7204560288516,FALSE,""
